English Sentence,Amharic Sentence
"The UK government is to create a new wave of universities both in the private and public sector, the first new universities in the country for two decades.",የዩኬ መንግስት አዲስ ያለውን እና በሁለት አስርተ አመታት ውስጥ አዲስ የሆኑ የግል እና የመንግስት የዩንቨርሲቲዎችን ሊመሰርት ነው።
M23 rebels announce their withdrawal from territory captured from government troops after a pullout deal was reached in Uganda.,በዩጋንዳ የመውጣት ስምምነት ከተደረገ በኋላ የኤም23 አማፂዎች ከመንግስት ወታደሮች ላይ ይዘዋቸው ከነበሩ ቦታዎች ላይ እንዳፈገፈጉ አሳወቁ።
"New data from the NASA space probe MESSENGER indicate that Mercury, the closest planet to the Sun, almost surely has water ice buried beneath the surface at its north pole.",ከናሳ የህዋ ጣቢያ የመጣ አዲስ መልእክት ለፀሃይ የቀረበችው እና ሜርኩረ የተባለቸው ፕላኔት በሰሜን በኩል በሚገኘው ውስጣዊ ክፍሏ የውሃ በረዶ ሊኖራት እንደሚችል አመላከተ።
"NASA debunks rumors of new evidence of life on Mars, but its Curiosity rover continues to make many smaller discoveries.",ናሳ በማርስ ላይ ህይወት አለ የሚለውን ሃሳብ ውሸት ነው ሲል ገለፀ፤ ነገር ግን የተላከው መንኩራኩር አዳዲስ እና ትንንሽ ግኝቶችን እያደረገ እንደሆነ አስታውkል።
"NASA's twin GRAIL probes have revealed the surface of the Moon in unprecedented detail, showing unexpectedly-deep cracks, craters and tectonic structures.",የናሳ መንታ ግሬል ፕሮግራሞች በጨረቃ የላይኛው ክፍል ላይ ስለሚገኙ ጉርጓዶች፣ ክሬተሮቸ እና በእሳተ ገሞራ የተፈጠሩ ገፅታዎች ተጨማሪ መረጃዎችን አሳዩ።
"The President of the Philippines Benigno Aquino declares a state of national calamity in the country following Typhoon Bopha, which has claimed over 450 lives.",የፊሊፒንስ ፕሬዝዳንት ቤኒግኖ አኪኖ ከ 450 በላይ ሰዎችን ሕይወት የቀጠፈውን አውሎ ነፋስ ቦፋ ተከትሎ በሀገሪቱ ውስጥ ብሔራዊ የጥፋት ሁኔታ አዋጅ አወጁ።
Police in Vietnam break up anti-China protests over gas and oil claims in the South China Sea.,በደቡብ ቻይና ባህር ውስጥ በጋዝ እና በነዳጅ የይገባኛል ጥያቄ የተነሳ የፀረ-ቻይና ተቃውሞዎችን የቬትናም ፖሊስ በትኗል።
Finance Ministers from the European Union agree to giving the European Central Bank new powers to supervise euro zone banks.,የአውሮፓ ህብረት የገንዘብ ሚኒስትሮች የዩሮ ዞን ባንኮችን የመቆጣጠር አዲስ ስልጣን ለ የአውሮፓ ማዕከላዊ ባንክ ለመስጠት ተስማሙ።
An inquest into the death of nurse Jacintha Saldanha hears that she died as a result of self-inflicted hanging.,ስለጤና ረዳቷ ጃቺንታ ሳላዳንሃ ሞት በተደረገ መጠይቅ ጤና ረዳቷ ራሷን በራሷ እንዳጠፋች መረዳት ተችሏል።
"Ephraim Mirvis is announced as the next Chief Rabbi of the United Kingdom, replacing Dr. Jonathan Sacks who will step down from the role in 2013.",ኤፍሬም ሚርቪስ እ.ኤ.አ. በ 2013 ከአገልግሎት የሚነሱትን ዶ / ር ዮናታን ሳክስስን በመተካት ቀጣዩ የእንግሊዝ ዋና ረቢ (መምህር) መሆናቸው ታወጀ።
"The New York Stock Exchange, the largest stock exchange in the United States and the world, is sold to Atlanta-based IntercontinentalExchange.",ትልቁ የዩናይትድ ስቴትሱ የንግድ ገበያ ማእከል የሆነው የኒው ዮርኩ ንግድ ገበያ መቀመጫውን አትላናታ ላረገውና አህጉር አቀፈዊ የንግድ ገበያ ልውውጥ ለሚሰራው ኢንተርኮንቲነንታል ንግድ ገበያ ተሸጠ።
"Vladimir Putin, the President of Russia, grants Russian citizenship to Gérard Depardieu who has renounced his French citizenship due to high taxes.",የሩሲያ ፕሬዝዳንት ቭላድሚር ፑቲን በከፍተኛ ግብር ምክንያት የፈረንሣይ ዜግነቱን ለሰረዘው ለጄራርድ ዴፓርዴ የሩሲያ ዜግነት ሰጡ።
"Police in India charge five men with the murder of a 23-year-old woman who was gang-raped on a bus in Delhi on December 16, 2012.",የህንድ ፖሊስ በታህሳስ 16 2012 በዴልሂ ከተማ በአውቶቢስ ውስጥ በቡድን በተደፈረችው የ23 አመቷ ወጣት የግድያ ወንጀል አምስት ወንዶች ላይ ክስ አቀረበ።
"The Church of England drops its prohibition on gay clergy in civil partnerships becoming bishops, so long as they promise to be celibate.",በእንግሊዝ የሚገኙ ቤተ-ክርስትያናት በግብረሶማውያን ቀሳውስት ላይ አስቀምጦ የነበረውን ለጳጳስነት የመታጨት እገዳ ጋብቻ እስካልፈፀሙ ድረስ አነሳ።
Beijing's air pollution reaches levels judged as hazardous to human health.,የቤጂንግ የአየር ብክለት ለሰው ልጅ ጤና አደገኛ ነው ከሚባል ከፍተኛ ደረጃ ላይ ደረሰ።
Boeing 787 aircraft are grounded worldwide over concerns about the safety of their lithium-ion batteries.,ቦይንግ 787 አውሮፕላኖች የሊቲየም-አዮን ባትሪዎቻቸውን ደህንነት በተመለከተ በዓለም ዙሪያ እገዳ ተጥሎባቸዋል።
NASA’s Curiosity rover finds calcium deposits on Mars similar to those seen on Earth when water circulates in cracks and rock fractures.,የናሳ አሳሸ መንኩራኩር በምድር ላይ ውሃ በጠጣር ነገሮች ላይ ሲዘዋወር የምናየው አይነት የምናየው አይነት የካልሺየም ማእድንን በማርስ ላይም እንዳገኘ መረጃ ላከ።
The United States Department of State issues a travel warning to United States citizens for the country of Algeria in response to the In Aménas hostage crisis.,የአሜሪካው የስቴት ዲፓርትምነት በ አልጄሪያ የተፈጠረውን የአሜናስ እገታን ተከትሎ ወደ አልጄሪያ የሚደረጉ ጉዞዎች ላይ የደህንነት ማስጠንቀቂያ አስተላለፈ።
Rescuers from New Zealand and McMurdo Station looking for three Canadians aboard an airplane presumed to have gone down in Antarctica were grappling with bad weather conditions.,ከኒው ዚላንድ እና ከማክሞርዶ ጣቢያ የመጡ የአደጋ ግዜ ሰራተኞች አንታርክቲካ ላይ ወድቋል ተብሎ በሚገመት አውሮፕላን ውስጥ የነበሩ ሦስት ካናዳውያንን ከመጥፎ የአየር ሁኔታ ጋር እየታገሉ ፍለጋቸውን ቀጥለዋል።
A Ukrainian court sentences a former police chief Olexiy Pukach to life imprisonment for murdering journalist Georgiy Gongadze in 2000.,እ.ኤ.አ በ 2000 ዓ.ም የቀድሞው የፖሊስ አዛዥ ኦሌክሲ ፑካክ ጋዜጠኛ ጆርጂ ጊንጋዴዝን በመግደል ወንጀል የዩክሬይን ፍርድ ቤት የዕድሜ ልክ እስራት ፈርዶበታል።
A.C. Milan says it has reached an agreement with Manchester City F.C. to sign Italian striker Mario Balotelli.,ኤሲ ሚላን ከማንቸስተር ሲቲ ኤፍ.ሲ ጋር ጣሊያናዊውን አጥቂ ማሪዮ ባሎቴሊን ለማስፈረም ስምምነት ላይ ደርሰናል ብሏል።
South Korean media reports claim that North Korea has been placed under martial law with another nuclear test considered to be imminent.,ሰሜን ኮሪያ ሌላ የኑክሌር ሙከራ ታሳቢ ያደረገ ወታደራው ሕግ ሥር እንድትሆን መደረግዋን የደቡብ ኮሪያ መገናኛ ብዙኃን ሪፖርቶች ዘግበዋል ።
"The Kremlin announces that Russia will hold the 2014 G8 summit in its southern Black Sea resort of Sochi, the host of the 2014 Winter Olympics.",ከክሬመሊን የወጣው መግለጫ እንደሚያሳውቀው ሩሲያ የ2014ን የጂ8 ስብሰባ የ2014 የክረምት ኦሎምፒክ በምታዘጋው የደቡባዊ የጥቁር ባህር ማረፊያ ሶቺ ለማድረግ ወስናለች።
"Afzal Guru is hanged at Tihar Jail in New Delhi, India, for his role in the 2001 Indian Parliament attack.",አፍዛል ጉሩ ከ2001 የህንድ ፓርላማ ጥቃት ጋር በተያያዘ በኒው ዴልሂ በሚገኘው ቲሃር እስር ቤት ውስጥ በስቅላት ተገደለ።
Tens of millions of Hindus bathe in the Ganges River in the Indian city of Allahabad during the Maha Kumbh Mela festival.,በአስር ሚሊዮኖች የሚቆጠሩ ሂንዱዎች በህንድ በምተገኘው አላህአባድ ከተማ በማሃ ኩምብ ፌስቲቫል አከባበር ላይ በጋንጀስ ወንዝ ውስጥ ታጠቡ።
"In motorsport, Danica Patrick becomes the first woman to win pole position at the Daytona 500 and the NASCAR Sprint Cup Series.",በሞተር ውድድር፤ ዳኒካ ፓተሪክ በናስካር ስፕሪነት ካፕ ሲሪየሥ በዳይቶና 500 ውድድር ላይ በማሸነፏ የመጀመሪያዋ እስንስት ሆነች።
"North Korea threatens the ""final destruction"" of South Korea during a United Nations conference on disarmament.",በተባበሩት መንግስታት በትጥቅ ማስፈታት ጉዳይ ላይ በተደረገው ኮንፍረንስ ሰሜን ኮሪያ ደቡብ ኮሪያን ለመጨረሻ ጊዜ አጠፋሻለው ስትል ዛተች።
The Canadian Security Intelligence Service warns of possible attacks within Canada due to the presence of Al-Qaeda affiliated groups in the country.,የካናዳ የደህንነት ኢንተለጀንስ አገልግሎት የአልቃይዳ ተጓዳኝ ቡድኖች በሀገሪቱ ውስጥ በመኖራቸው በካናዳ ላይ ጥቃት ሊደርስ ይችላል ሲል ያስጠነቅቃል።
A new study finds that chimpanzees will solve puzzles for the fun of it.,አንድ አዲስ ጥናት ችምፓንዚዎች የፐዝል ጨዋታዎችን እየተጫወቱ እንደሚገጣጥሙ አሳወቀ።
A study concludes that continuous standing and walking reduces the risk of type II diabetes better than either sitting/lying or exercise.,አንድ ጥናት ው ከመቀመጥ እና ጋደም ከማለት ወይም እንቅስቃሴ ከማድረግ በላይ ለተከታታይ ጊዜያት መቆም እና መራመድ ከሁለተኛው የስኳር በሽታ አይነት ከመያዝ ሊታደግ ይችላል ሲል አመላከተ።
"Following treatment, a 2-year-old Mississippi girl born with the HIV/AIDS virus is pronounced to be HIV negative.",ህክምናን ተከትሎ ከኤች አይ ቪ/ኤድስ ቫይረስ ጋር የተወለደችው የ 2 ዓመቷ የሚሲሲፒ ህፃን ኤች አይ ቪ ነጌቲቭ መሆኗ ተገለጸ።
"Eddie Maher, who spent almost 20 years as a fugitive in the United States, is jailed for five years for stealing a security van containing £1.2m in Suffolk, England.",በአሜሪካ ለ20 አመታት በስደት የቆየው ኤዲ ማሀር በእንግሊዝ ሰፎልክ የደህንነት ሰራተኞችን መኪና በመስረቁ ለአምስት አመት የሞቆይ የእስር ፍርድ ተፈረደበት።
Manchester United player Rio Ferdinand may face a disciplinary procedure after his sarcastic hand-clapping gesture before Cüneyt Çakır at the end of the game.,የማንችስተር ዩናይትዱ ተጫዋች ሪዮ ፈርዲናንድ በጨዋታው መጨረሻ ጁንየት ችኩር ፊት በማጨብጨብ በማንጓጠጡ የዲሲፕሊን እርምጃ ለወሰድበት ይችላል።
The United Nations Security Council approves unanimously new sanctions against North Korea for its recent nuclear test.,የተባበሩት መንግስታት የፀጥታው ምክር ቤት ለሰሞኑን የሰሜን ኮሪያ የኑክሌር ሙከራዋ ላይ አዲስ ማዕቀቦችን በሙሉ ድምጽ አጽድቋል።
"Six people, including multiple elected officials, are arrested on charges of fraud for allegedly attempting to rig the 2013 New York City mayoral election.",የ2013 የኒውዮርክ ከተማ ከንቲባ ምረጫ ለማጭበርበር ተንቀሳቅሳችዋል በሚል ስድስት ሰዎችን ተያዙ፤ ከተያዙት ሰዎች መካከል የተመረጡ ባለስልጣናትም ይገኙበታል።
"Writer Ruth Prawer Jhabvala, the only person to have won both an Academy Award and a Booker Prize, dies at the age of 85.",የአካዳሚ ሽልማትንመ የቡክ ፕራይዝንም ሽልማቶች በመውሰድ ብቸኛ የነበረቸው ሩት ፕራወር ጃህበቫላ በ85 አመቷ ከዚህ አለም በሞት ተለይታለች።
A new study suggests that common cholesterol reducing drugs may also prevent macular degeneration.,አዲስ ጥናት እንደሚያመለክተው ኮሌስትሮልን የሚቀንሱ መድኃኒቶች የእይታ መቀነስ ችግርንም ሊከላከሉ ይችላሉ።
Pope Francis appoints a panel of nine high-ranking prelates from around the world to advise him of the running of the Catholic Church and advise him on the reform of the Vatican bureaucracy.,ፖፕ ፍራንሲስ ከተለያየ አለም አካባቢ የመጡ ዘጠኝ ከፍተኛ ደረጃ ያላቸው ጳጳሳትን ለአማካሪነት እና የቫቲካንን ቢሮክራሲ ለውጥ ለማምጥት በሚል ሹመት ሰጡ።
U.S. President Barack Obama visits the city of Boston in the wake of the recent marathon bombings.,ከማራቶን ቦምብ አደጋ በ|ላ የአሜሪካው ፕሬዚደንት ባራክ ኦባማ በቦስተን ከተማ ጉብኝት አደረጉ።
A study finds that men who wear kilts and no underwear have higher sperm counts than men who sport underwear.,አንድ ጥናት እንደሚያመላክተው የውስጥ ልብስ ከሚያደርጉ ወንዶች ይበልጥ ባህላዊ ቀሚስ የሚያደረጉ እና የውስጥ ልብስ የማያደርጉ ወንዶች ከፍተኛ የዘር(ነባዘር) መጠን አላቸው።
"In tennis, Russia and Italy advance to the final of the 2013 Fed Cup World Group defeating Slovakia and Czech Republic respectively.",በቴኒስ ሩሲያ እና ጣሊያን በቅደም ተከተል ስሎቫኪያ እና ቼክ ሪፐብሊክን በማሸነፍ ወደ 2013 የ ፌድ ካፕ ወርልድ ግሩፕ ፍፃሜ አልፈዋል።
"After being missing for over a week, the body of Sunil Tripathi is found in the Providence River.",የሱኒል ትሪፓቲ ሬሳ ለሳምንታት ከጠፋ በ|ላ በፕሮቪደንስ ወንዝ ውስጥ ተገኘ።
Seven-time Prime Minister of Italy Giulio Andreotti dies in Rome at the age of 94 years.,ለሰባት ጊዜ የጣሊያን ጠቅላይ ሚኒስቴር ሆነው ያገለገሉት ጂውሊዎ አንደሮቲ በ94 አመታቸው በሮም ከተማ ከዚህ አለም በሞት ተለዩ።
Indian National Congress won legislative assembly election of Indian state Karnataka with clear majority.,የህንድ ብሄራዊ ኮንግረስ በካርናታካ ክልል የተደረገውን የህግ አውጪ ምክር ቤት ምርጫ በከፍተኛ ብልጫ አሸነፈ።
"Gunmen break into the home of an anti-terrorism police officer in the Baghdad suburbs, killing him and his family.",በባግዳድ ሰፈሮች ውስጥ የፀረ ሽብርተኛ ፖሊስ መኮንን ቤትን ሰብሮ በመግባት ገዳዮች እሱንና የቤተሰቡን ህይወት አጥፍተዋል።
Star Trek Into Darkness earns an estimated US$70.6 million during its opening weekend in the US and Canada.,“ስታር ትሬክ ኢንቱ ዳርክነስ” በአሜሪካ እና ካናዳ በተመረቀበት የሳምንቱ መጨረሻ 70.6 ሚሊዮን ዶላር ገደማ ገቢ አስገኘ።
"A study of more than 10,000 people finds a correlation between cesarean section birth and childhood obesity.","ከ10,000 ሰዎች በላይ ላይ በተደረገ ጥናት በቀዶጥገና ፅንስን መውለድ እና በልጅነት ከልክ በላይ ክብደት መጨመር ግንኙነት እንዳላቸው አመላከተ።"
"Thousands of people attend the beatification of Pino Puglisi, a Roman Catholic priest murdered by the Sicilian Mafia for speaking out against crime. ,",በሺዎች የሚቆጠሩ ሰዎች ወንጀልን በመቃወሙ በሲሲሊ ማፊያ የተገደለው የሮማ ካቶሊክ ቄስ ፒኖ ፑግሊሲ የዘላለም ደህንነት ስርአት ላይ ተገኝተዋል።
"In tennis, Venus Williams loses in the first round of the French Open for the first time since 2001.",በቴኒስ ቬነስ ዊሊያምስ ከ 2001 ጀምሮ ለመጀመሪያ ጊዜ በፈረንሣይ ኦፕን የመጀመሪያ ዙር ተሸነፈች።
France reports its first death from the Middle East respiratory syndrome coronavirus as Saudi Arabia advises of five new cases.,ፈረንሳይ የመካከለኛው ምስራቅ የመተንፈሻ አካል ሲንድረም ኮሮናቫይረስ የመጀመሪያውን ሞት ሪፖርት ስታደርግ ሳውዲ አረቢያም አምስት አዳዲስ ታማሚዎች መኖራቸውን አሳውቃለች።
Italy announces its first case of novel coronavirus.,ጣሊያን የመጀመሪያውን የኖቭል ኮሮና ቫይረስ ታማሚ አስታወቀች።
U.S. President Barack Obama lifts a trade embargo of communications equipment and software to non-government Iranians.,የአሜሪካው ፕሬዝዳንት ባራክ ኦባማ የመገናኛ መሣሪያዎች እና ሶፍትዌሮች የንግድ ማዕቀብ መንግስታዊ ላልሆኑ ኢራናውያን አነሱ።
Taliban insurgents attack two checkpoints in the Kamdesh District in eastern Afghanistan killing four Afghan police officers,የታሊባን ታጣቂዎች በምስራቃዊ አፍጋኒስታን በካምዴሽ ወረዳ ሁለት ኬላዎች ላይ በፈፀሙት ጥቃት አራት የአፍጋን ፖሊሶችን ገደሉ።
"Wildfires in Southern California, USA, lead to hundreds of evacuations.",በደቡባዊ ካሊፎርኒያ ፣ ዩ ኤስ ኤ ውስጥ የዱር እሳት ወደ መቶዎች መፈናቀልን አስከትሏል።
The Supreme Constitutional Court of Egypt rules that the country's Islamist dominated Parliament and Constituent Assembly of Egypt were illegally elected.,የግብፅ ከፍተኛው የህገ መንግስት ፍርድ ቤት በሃገሪቱ ያሉት በሙስሊም የበላይነት የተያዘው ፓርላማ እንዲሁም የህገ መንግስት ጉባኤ በህጋዊ መንገድ ነው የተመረጡት ሲል ወሰነ።
"In rugby league, the New Zealand Warriors are fined AU$15,000 for Russell Packer urinating on the field before a game.","በራግቢ ሊግ የኒውዚላንድ ተዋጊዎች ከጨዋታ በፊት ራስል ፓከር በሜዳው ላይ ሽንቱን በመሽናቱ 15,000 ዶላር ተቀጡ።"
More than 150 scientists urge the Australian Government to slow development near the Great Barrier Reef.,ከ 150 የሚበልጡ የሳይንስ ተመራማሪዎች የአውስትራሊያ መንግስት ወደ ባህር ዳርቻ አካባቢ ወደሆነው ግሬት ባሪየር የውቅያኖስ ዳርቻ የመሬት ክፍል እየተጠጋ የመጣውን እድገት እንዲቀስ አስጠነቀቁ።
"Researchers describe the recently rediscovered Hula painted frog, long thought to be extinct, as a ""living fossil"".","ተመራማሪዎች በቅርቡ በድጋሚ የተገኘውን እና ለረጅም ጊዜ ጠፍቷል የተባለውን የሁላ የእንቁራሪት ስእል ""በህይወት ያለ ቅሪተ አካል"" ነው ሲሉ ገለፁ።"
"A second case of Legionnaires' Disease in less than a week is confirmed in Australia, leading to fears of a possible outbreak of the rare disease.",በአውስትራሊያ ውስጥ ከሳምንት ባነሰ ጊዜ ውስጥ የሌጅኒየርስ በሽታ ሁለተኛ ታማሚ መገኘት በመረጋገጡ ይህ አልፎ አልፎ የሚከሰት በሽታ ወረርሽኝ ሊከሰት ይችላል የሚል ፍራቻን አስከትሏል።
The United States and China agree to work together to reduce the use of hydrofluorocarbons which are thought to contribute significantly to global warming.,ለዓለም ሙቀት መጨመር ከፍተኛ አስተዋፅኦ ያደርጋሉ ተብለው የሚታሰቡትን የሃይድሮ ፍሎሮካርቦኖችን አጠቃቀም ለመቀነስ አሜሪካ እና ቻይና በጋራ ለመስራት ተስማሙ።
"A new study suggests that altitude plays a role in language evolution, explaining why ejective sounds are more popular in languages of high-altitude regions.",አዲስ ጥናት እንደሚያመለክተው ከፍታ በቋንቋ ዝግመተ ለውጥ ውስጥ ሚና የሚጫወተው ለምን እንደሆነ በማብራራት በከፍታ ቦታዎች በሚገኙ ቋንቋዎች ውስጥ ወጣ ያሉ ድምጾች በጣም ተወዳጅ እንደሆኑ ያብራራል።
Pope Francis blesses thousands of Harley Davidson motorcycle enthusiasts on the company's 110th anniversary.,ሊቀ ጳጳስ ፍራንሲስ በሺዎች የሚቆጠሩ የሃርሊ ዴቪድሰን የሞተር ብስክሌት አድናቂዎችን በኩባንያው 110 ኛ ዓመት ላይ ይባርካሉ።
"The Prime Minister of the Czech Republic, Petr Nečas, submits his resignation following a corruption scandal.",የቼክ ሪፑብሊኩ ጠቅላይ ሚኒስቴር ፒተር ኔካስ በተከሰተው የሙስና ቅሌት ምክንያት ከስልጣናቸው ለመነሳት ጥያቄ አቀረቡ።
"President of Nigeria Goodluck Jonathan announces a N3 billion fund to ""intervene"" in Nollywood.",የናይጄሪያው ፕሬዚደንት ጉድላክ ጆናታን ለኖሊውድ 3ቢሊየን ናይራ ድጋፍ እንደሚደረግ አስታወቁ።
Taiwan reports the first human case of the H6N1 virus.,ታይዋን የመጀመሪያውን የሰው ኤችስድስትኤን1 (H6N1) ቫይረስ ተጠቂ እንዳገኘች ገለፀች።
French anti-terror police arrest six people in Paris who were said to have been planning a terrorist attack on well known figures.,የፈረንሣይ ፀረ-ሽብር ፖሊስ በታዋቂ ሰዎች ላይ የሽብር ጥቃት አቅደው ነበር የተባሉ ስድስት ሰዎችን በቁጥጥር ስር አውሏል።
The Australian Dollar falls to its lowest level against the US Dollar since 2010.,ከ 2010 በ|ላ የአውስትራሊያው ዶላር ከዩኤስ ዶላር ምንዛሪ ጋር ሲነፃፃር በጣም ዝቅተኛ ደረጃ ላይ ደረሰ።
"Pakistan condemns the latest deadly U.S. drone strike to violate its ""sovereignty and territorial integrity"".",ፓኪስታን ሉአላዊነቴን እና ድንበሬን አላከበረም በሚል የአሜሪካን የሰው አልባ ድሮኖችን ጥቃት አወገዘች።
"Abu Qatada, a Palestinian Muslim cleric allegedly affiliated with al-Qaeda, is deported from the United Kingdom to Jordan to face charges of terrorism.",የፍልስጤሙ የእስልምና አስተማሪ አቡ ቃታዳ ከአልቃይዳ ጋር ግንኙነት እንዳለው በመጠርጠሩ ከ እንግሊዝ ተባሮ በጆርዳን ሽብር ክስ ተመሰረተበት።
Prominent Russian opposition figure Alexei Navalny registers himself to stand in September's vote for Moscow mayor.,ታዋቂው የሩሲያ ተቃዋሚ አሌክስ ናቫልኒ ለመስከረሙ የሞስኮ ከተማ ከንቲባ ምርጫ ተመዘገበ።
"British Prime Minister David Cameron announces plans for every household in the UK to automatically have pornography blocked by their internet service provider, unless they choose otherwise.",በእንግሊዝ ያለ እያንዳንዱ ቤተሰብ በተለየ መንገድ ካልመረጠ በስተቀር የወሲብ ምስሎችን ወዲያውኑ ለማሳገድ ከፈለገ በበይነመረብ አገልግሎት አቅራቢው አማካኝነት መፈፀም ለማስቻል ማቀዱን የእንግሊዝ ጠቅላይ ሚኒስትር ዴቪድ ካሜሮን አስታውቋል።
"Hercules 264, a Gulf of Mexico natural gas drilling rig, partially collapses off the coast of Louisiana after catching fire.",በሜክሲኮ ባሕረ ሰላጤ የሔርኩለስ 264 የተፈጥሮ ጋዝ ቁፋሮ ላይ እሳት አደጋ መድረስን አስመልክቶ በሉዊዚያና የባሕር ዳርቻ ላይ በከፊል ጉዳት አድርሷል ።
"Wells Fargo of the United States becomes the world's largest bank by market capitalisation, replacing the Industrial and Commercial Bank of China amid an economic slowdown in China.",በቻይና በተፈጠረው የኢኮኖሚ ቀውስ ምክንያት የቻይናውን የኢንዱስትሪ እና ንግድ ባንክ በመተካት የአሜሪካው ዌልስ ፋርጎ በገበያ ካፒታላይዜሽን የዓለም ትልቁ ባንክ ሆኗል።
"The Oxford English Dictionary confirms that it will change the definition of the word ""marriage"" to include the LGBT community.","የኦክስፎርድ እንግሊዘኛ መዝገበ ቃላት ""marriage"" ወይም ጋብቻ በሚለው ቃል ስር ያለውን የቃል ፍቺ ""LGBT"" ማህበረሰብ እንዲያካትት አድርጎ እንደሚያስተካክል አረጋገጠ።"
A mass funeral is held near the southern Italian town of Pozzuoli for the 38 victims of Sunday's bus crash.,በደቡባዊ ጣሊያን ፖዙሊ ከተማ አቅራቢያ ለ 38 ቱ የእሁድ አውቶቡስ አደጋ ተጠቂዎች የጅምላ ቀብር ተፈጸመ።
The United States closes 22 embassies in the Middle East and North Africa due to intelligence of an Al-Qaeda attack.,አሜሪካ በሰሜን አፍሪካ እና በመካከለኛው ምስራቅ የሚገኙ 22 ኤምባሲዎቿን አልቃይዳ ጥቃት ሊፈፅም ይችላል በሚል ዘጋች።
A gas explosion in an apartment block kills five people and injures a dozen in the Argentine city of Rosario.,በአርጀንቲና ሮዛሪዮ ከተማ በአንድ አፓርትመንት የመኖሪያ ብሎክ ውስጥ የተከሰተ የጋዝ ፍንዳታ አምስት ሰዎችን ገድሎ አስራ ሁለት ሰዎች ላይ ጉዳት አድርሷል።
A hot Air Balloon carrying an American family crashes killing one person and injures four in the Swiss town of Montbovon.,በስዊዘርላንድ ሞንትቦቮን ከተማ አንድ አሜሪካዊ ቤተሰብን የጫነ የሞቀ አየር ፊኛ ተከስክሶ አንድ ሰው ሲገድል አራት ደግሞ ቆስለዋል።
Australian Prime Minister Kevin Rudd and Leader of the Opposition Tony Abbott participate in the first of three televised leaders debates ahead of September's federal election.,የአውስትራሊያው ጠቅላይ ሚኒሰተር ኬቪን ሩድ እና የተቃዋሚ መሪ የሆኑት ቶኒ አቦት በመስከረም ለሚደረገው የፌደራላዊ ምርጫ በቀጥታ የቴሌቪዥን ስርጭት ክርክር አደረጉ።
"Ali Akbar Salehi, former Iranian foreign minister, is appointed as head of Atomic Energy Organization of Iran.",የቀድሞ የኢራን የውጪ ጉዳይ ሚኒስቴር አሊ አክባር ሳለሂ የኢራን አቶሚክ ኢነርጂ ድርጅት መሪ ሆነ።
The UK government's independent reviewer of terrorism laws is to probe the arrest of David Miranda.,የእንግሊዝ መንግስት ገለልተኛ የሽብርተኝነት ጉዳዮች መርማ የዴቪድ ሚራንዳን ጉዳይ ሊከታተል ነው።
"Real estate developers are reported to have severely damaged the UNESCO world heritage site of Cyrene, Libya.",በሲይርን ሊቢያ የሚገኙ የሪል ስቴት ባለሞያዎች በዩኔስኮ የተመዘገበ የአለም ቅርስ መስህብ ላይ ጉዳት እንዳደረሱ ተዘገበ።
The African Diaspora Maritime Corp. withdraws from the America's Cup amid controversy over being denied an opportunity to be the American defender in the competition based on ethnicity.,የአፍሪካው ዲያስፖራ ማሪታይም ኮርፐ በአሜሪካ ዋንጫ ውድድር ላይ የተከላካይ ቦታውን የተከለከለው ከዘረኝነት ጋር በተያያዘ እንደሆነ በመጠቆም ተሳትፎውን እንዳቆመ አስታወቀ።
"All 25,000 applicants to the University of Liberia fail their entrance exams.",በላይቤሪያ 25000 የሚሆኑ ተማሪዎች የዩንቨርሲቲ መግቢየ ፈተናን ሳያልፉ ቀሩ።
"French President François Hollande says France is ""ready to punish"" those responsible for the chemical attacks.",የፈረንሳዩ ፕሬዝዳንት ፍራንሷ ኦሎንድ ለኬሚካል ጥቃቱ ተጠያቂ የሆኑትን ፈረንሣይ ለመቅጣት ዝግጁ ናት ብለዋል።
"Syrians in the capital Damascus race against time to prepare for a foreign strike, with many hoarding supplies and others scrambling to find accommodation further away from potential military targets.",በዋና ከተማይቱ ደማስቆ ያሉ ሶሪያውያን ለውጭ ጥቃት ለመዘጋጀት ይሽቀዳደማሉ፣ ብዙዎች ዕቃዎችን በማጠራቀም እና ሌሎችም ወታደራዊ ኢላማ ካላቸው ርቀው መጠለያ ለማግኘት ይሯሯጣሉ።
Scientists discover an 800km long canyon that is up to 800m deep in places beneath the ice sheet that covers Greenland.,ተመራማሪዎች 800 ሜ ስምጠት ያለው እና 800 ኪ.ሜ የሚረዝም ካንዮን በግሪንላን በረዶዋማ ቦታዎች ማግኘታቸውን አስታወቁ።
"Diana Nyad successfully completes a swim from Cuba to Florida, the first person to do so without a shark cage.",ዲያና ንያድ የተባለች እንስት ለመጀመሪያ ጊዜ ከሻርክ መከላከያ ሳጥን ውጪ በመሆን ከኩባ ወደ ፍሎሪዳ ዋኘች።
"Rochus Misch, the last witness to Adolf Hitler’s suicide in the Führerbunker dies at the age of 96.",በፊውረር በንከር ውስጥ የአዶልፍ ሂትለር ራስን የማጥፋት የመጨረሻ ምስክር የነበረው ሮቹስ ሚሽ በ 96 ዓመቱ አረፈ።
"The elusive Australian Central Rock Rat, not seen since 1960, is rediscovered in Central Australia.",ከ 1960 ጀምሮ ያልታየው የአውስትራሊያ ማዕከላዊ ሮክ አይጥ በማዕከላዊ አውስትራሊያ ውስጥ እንደገና ተገኘ።
